id,country,c3,c2,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,source_rank
543,Austria,AUT,AT,2014,27.6,8.9,14.1,17.8,22.4,36.8,3.4,5.5,6.6,7.5,8.4,9.4,10.5,11.9,14.1,22.6,1.3,14,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,26080,23211,Euro,Year,0.753730737,,,43875,8633220,New 2018,High,13,Eurostat,Eurostat 2018,,,8
545,Austria,AUT,AT,2014,31.8,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,,,"Local currency units, at current prices",Year,0.753730737,,,43875,8633220,New 2018,High,11,OECD,OECD 2018,OECD StatExtract. New income definition since 2012,,6
546,Austria,AUT,AT,2014,49.3,,,,,,,,,,,,,,,,,,Earnings,Market income,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,,,"Local currency units, at current prices",Year,0.753730737,,,43875,8633220,New 2018,High,9,OECD,OECD 2018,OECD StatExtract. New income definition since 2012,,6
548,Austria,AUT,AT,2015,27.2,9,14.1,18,22.5,36.3,3.5,5.5,6.5,7.6,8.6,9.5,10.5,12,14,22.3,1.3,13.8,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,25958,23260,Euro,Year,0.901658962,,,44121,8678657,New 2018,High,13,Eurostat,Eurostat 2018,,,8
550,Austria,AUT,AT,2015,32.4,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,,,"Local currency units, at current prices",Year,0.901658962,,,44121,8678657,New 2018,High,11,OECD,OECD 2018,OECD StatExtract. New income definition since 2012,,6
551,Austria,AUT,AT,2015,49.5,,,,,,,,,,,,,,,,,,Earnings,Market income,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,,,"Local currency units, at current prices",Year,0.901658962,,,44121,8678657,New 2018,High,9,OECD,OECD 2018,OECD StatExtract. New income definition since 2012,,6
553,Austria,AUT,AT,2016,27.2,8.8,14.2,18.2,22.8,36,3.3,5.5,6.6,7.6,8.5,9.6,10.7,12.1,14.1,22,1.2,13.5,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,26054,23694,Euro,Year,0.904035128,,,44590,8712137,New 2018,High,13,Eurostat,Eurostat 2018,,,8
558,Azerbaijan,AZE,AZ,1988,31.7,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1284,,Azerbaijan ruble,Month,,,,,7010036,,Average,11,Research study,Alexeev and Gaddy 1993,,Family Budget Survey,4
559,Azerbaijan,AZE,AZ,1989,30.8,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,,,,,7126891,,Average,11,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey,3
562,Azerbaijan,AZE,AZ,1990,34.5,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1428,,Azerbaijan ruble,Month,,,,8415,7242770,,Average,11,Research study,Alexeev and Gaddy 1993,,Family Budget Survey,4
566,Azerbaijan,AZE,AZ,1995,34.65,7.07,12.04,16.37,22.51,42.01,2.69,4.38,5.5,6.54,7.58,8.79,10.22,12.29,15.24,26.77,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2056.32,1676.16,US$2011PPP,Year,0.8827085,2056,1676,3281,7775426,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
570,Azerbaijan,AZE,AZ,2000,30.1,,,,,,,,,,,,,,,,,,Income (gross),"Monetary income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,0.89483075,,,4418,8122741,,Low,11,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
574,Azerbaijan,AZE,AZ,2001,36.45,7.43,11.53,15.31,21.23,44.5,3.06,4.37,5.32,6.21,7.08,8.23,9.65,11.58,14.99,29.51,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2510.52,1905.84,US$2011PPP,Year,0.931316667,2511,1906,4812,8197279,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
572,Azerbaijan,AZE,AZ,2001,37.3,7.98,12.08,16.56,22.4,40.98,3.45,4.53,5.61,6.47,7.74,8.82,10.37,12.03,14.94,26.03,,,Income (gross),"Monetary income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,157720.4,,,,0.931316667,,,4812,8197279,,Low,13,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
576,Azerbaijan,AZE,AZ,2002,17.36,12.86,16.28,18.77,21.75,30.33,5.77,7.09,7.83,8.45,9.06,9.71,10.43,11.32,12.74,17.59,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2917.44,2738.28,US$2011PPP,Year,0.972164167,2917,2738,5270,8277015,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
577,Azerbaijan,AZE,AZ,2003,18.81,12.2,15.89,18.72,22.16,31.02,5.41,6.79,7.6,8.29,8.99,9.73,10.56,11.6,13.06,17.96,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2997.12,2802.84,US$2011PPP,Year,0.982146,2997,2803,5801,8361359,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
578,Azerbaijan,AZE,AZ,2004,16.23,13.32,16.58,18.82,21.58,29.71,6.07,7.25,7.98,8.6,9.13,9.69,10.36,11.22,12.57,17.14,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,3037.08,2853.72,US$2011PPP,Year,0.9826955,3037,2854,6327,8448882,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
579,Azerbaijan,AZE,AZ,2005,16.64,13.37,16.4,18.51,21.51,30.19,6.1,7.27,7.92,8.48,8.96,9.55,10.28,11.23,12.78,17.41,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,3014.28,2785.92,US$2011PPP,Year,0.945421,3014,2786,7913,8538606,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
597,"Bahamas, The",BHS,BS,2001,57.45,5.56,9.94,14.06,20.91,49.53,2.08,3.48,4.4,5.54,6.31,7.75,9.37,11.54,15.51,34.02,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,High income,10110.87,6989.06,United States dollar,Year,1,,,33271,303135,New 2018,High,13,National statistical authority,Bahamas Department of Statistics 2004,,Bahamas Living Conditions Survey,5
624,Bangladesh,BGD,BD,1973,28,8.8,13.6,17.9,21.9,37.8,3.6,5.2,6.4,7.2,8.5,9.4,10.2,11.7,14.4,23.4,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,,,,,7.849815999,,,,68691185,,Average,13,Research study,van Ginneken 1982,,Household Expenditure Survey,4
634,Bangladesh,BGD,BD,1984,32.7,7.6,12.32,16.28,22.04,41.76,2.94,4.66,5.71,6.62,7.59,8.69,10.1,11.94,15.24,26.51,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,384451.2,,Bangladeshi taka,Month,25.35393339,,,,88338242,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Bangladesh Household Expenditure Survey,2
635,Bangladesh,BGD,BD,1984,25.88,9.72,14.29,17.91,22.25,35.84,4.13,5.59,6.68,7.61,8.5,9.41,10.45,11.8,13.97,21.87,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,969.6,866.88,US$2011PPP,Year,25.35393339,970,867,,90732362,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
638,Bangladesh,BGD,BD,1986,30.7,8.04,12.22,15.97,21.63,42.14,3.24,4.81,5.68,6.54,7.45,8.52,9.86,11.77,15.18,26.97,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,520735.2,,Bangladeshi taka,Month,30.4069,,,,93199865,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Bangladesh Household Expenditure Survey,2
639,Bangladesh,BGD,BD,1986,26.92,10.04,13.82,17.24,21.66,37.24,4.47,5.57,6.49,7.33,8.17,9.07,10.13,11.53,13.83,23.41,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1068.96,920.04,US$2011PPP,Year,30.4069,1069,920,,95742431,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
640,Bangladesh,BGD,BD,1989,30.3,8.04,12.22,15.97,21.63,42.14,3.24,4.81,5.68,6.54,7.45,8.52,9.86,11.77,15.18,26.97,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,520735.2,,Bangladeshi taka,Month,32.27,,,,100975321,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Bangladesh Household Expenditure Survey,2
641,Bangladesh,BGD,BD,1989,28.85,9.45,13.36,16.96,21.63,38.6,4.16,5.29,6.24,7.12,8,8.96,10.07,11.56,14.02,24.58,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,941.28,796.56,US$2011PPP,Year,32.27,941,797,,103599232,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
643,Bangladesh,BGD,BD,1992,27.57,9.62,13.65,17.33,22.04,37.36,4.12,5.5,6.39,7.26,8.17,9.16,10.3,11.74,14.07,23.29,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,857.52,740.4,US$2011PPP,Year,38.95075833,858,740,1342,111221938,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
645,Bangladesh,BGD,BD,1996,38.7,5.79,10.57,14.69,21,47.95,2,3.79,4.8,5.77,6.75,7.95,9.44,11.56,15.53,32.42,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,8162.4,,Bangladeshi taka,Month,41.79416833,,,1503,118706871,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Bangladesh Household Expenditure Survey,2
646,Bangladesh,BGD,BD,1996,32.94,8.78,12.46,15.68,20.63,42.44,3.77,5.01,5.86,6.6,7.37,8.31,9.43,11.2,14.36,28.08,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1041.12,814.92,US$2011PPP,Year,41.79416833,1041,815,1471,121269645,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
648,Bangladesh,BGD,BD,2000,33.41,8.65,12.11,15.62,20.96,42.66,3.74,4.91,5.67,6.44,7.33,8.29,9.56,11.4,14.8,27.86,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1075.08,837.24,US$2011PPP,Year,52.14166667,1075,837,1642,131581243,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
652,Bangladesh,BGD,BD,2005,33.2,8.76,12.19,15.59,20.95,42.52,3.85,4.91,5.71,6.48,7.3,8.29,9.57,11.38,14.52,28,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1200.12,931.32,US$2011PPP,Year,64.327475,1200,931,1930,143431101,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
657,Bangladesh,BGD,BD,2010,32.13,8.85,12.46,15.97,21.23,41.48,3.85,5,5.83,6.63,7.49,8.48,9.74,11.49,14.56,26.92,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1284.48,1020.72,US$2011PPP,Year,69.64929167,1284,1021,2443,152149102,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
658,Bangladesh,BGD,BD,2016,32.39,8.64,12.44,16.05,21.43,41.43,3.7,4.94,5.8,6.64,7.51,8.54,9.84,11.59,14.6,26.83,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1407.72,1126.2,US$2011PPP,Year,78.46809167,1408,1126,3319,162951560,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
684,Barbados,BRB,BB,2010,47,4.3,8.7,12.6,19.4,54.9,1.4,2.9,3.9,4.8,5.7,6.9,8.4,11,15,39.9,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,2,,,16418,279569,New 2013,High,13,Research study,Sir Arthur Lewis Institute of Social and Economic Studies 2012,,Survey of Living Conditions (SLC) 2010,4
688,Belarus,BLR,BY,1988,22.8,10.48,14.88,18.56,22.95,33.12,4.47,6.01,6.99,7.89,8.8,9.76,10.83,12.12,13.92,19.2,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,852,,Belarusian ruble,Month,,,,,10146632,,Average,13,Research study,Milanovic 1998,,Soviet Households Budget Survey,4
689,Belarus,BLR,BY,1989,22.9,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,,,,,10189615,,Average,11,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey,3
692,Belarus,BLR,BY,1990,23.3,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2268,,Belarusian ruble,Month,,,,8331,10216846,,Average,11,Research study,Alexeev and Gaddy 1993,,Family Budget Survey,4
698,Belarus,BLR,BY,1995,31.7,7.36,12.57,17.39,23.35,39.33,2.85,4.51,5.73,6.84,8.04,9.36,10.73,12.61,15.48,23.85,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,6225.6,,Belarusian ruble (BYB),Month,0.001152097,,,5480,10142308,,Low,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Income and Expenditure Survey,2
696,Belarus,BLR,BY,1995,25.3,10.18,14.52,17.95,22.43,34.91,4.27,5.91,6.85,7.67,8.51,9.44,10.53,11.91,13.99,20.92,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,6290685.6,,Belarusian ruble (BYB),Month,0.001152097,,,5480,10142308,,Average,13,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
703,Belarus,BLR,BY,1996,28.2,9.42,13.32,16.55,20.93,39.78,4.03,5.39,6.26,7.06,7.85,8.7,9.75,11.18,13.74,26.03,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,12338.4,,Belarusian ruble (BYB),Month,0.001322988,,,5652,10109072,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Income and Expenditure Survey,2
704,Belarus,BLR,BY,1996,30.8,7.7,12.71,17.17,22.91,39.52,3.01,4.69,5.82,6.89,8.01,9.16,10.55,12.36,15.36,24.15,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,9038.4,,Belarusian ruble (BYB),Month,0.001322988,,,5652,10109072,,Low,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Income and Expenditure Survey,2
705,Belarus,BLR,BY,1997,24.9,10.25,14.57,17.81,22.1,35.26,4.31,5.94,6.9,7.67,8.46,9.36,10.37,11.73,13.82,21.45,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,17936241.6,,Belarusian ruble (BYB),Month,0.002602055,,,6318,10073061,,Average,13,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
707,Belarus,BLR,BY,1997,28,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,18120,,Belarusian ruble (BYB),Month,0.002602055,,,6318,10073061,,Low,11,World Bank,World Bank 2000,"Poverty during the Transition website 9/2000, Milanovic",Household Budget Survey,2
710,Belarus,BLR,BY,1998,27.7,9.73,13.77,16.81,20.97,38.72,4.07,5.66,6.53,7.24,8.01,8.79,9.81,11.17,13.7,25.02,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,38493.6,,Belarusian ruble (BYB),Month,0.004612762,,,6876,10033061,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Income and Expenditure Survey,2
711,Belarus,BLR,BY,1998,32.02,7.87,12.59,16.86,22.62,40.07,3.13,4.74,5.79,6.8,7.84,9.02,10.4,12.22,15.16,24.91,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1618.08,1357.8,US$2011PPP,Year,0.004612762,1618,1358,6876,10033061,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
714,Belarus,BLR,BY,1999,27.2,9.58,13.65,16.86,21.11,38.8,4.03,5.55,6.45,7.2,7.99,8.87,9.86,11.24,13.62,25.18,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,167510.4,,Belarusian ruble (BYB),Month,0.024929533,,,7143,9986933,,Average,13,World Bank,"Deininger and Squire, World Bank 2004",World Bank. Compilation,Household Sample Survey,2
715,Belarus,BLR,BY,1999,31.74,7.61,12.61,17.2,23.19,39.39,2.97,4.64,5.75,6.86,7.98,9.22,10.67,12.52,15.35,24.04,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1716.72,1466.16,US$2011PPP,Year,0.024929533,1717,1466,7143,9986933,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
718,Belarus,BLR,BY,2000,31.17,7.87,12.87,17.18,22.98,39.1,3.09,4.78,5.9,6.97,8.02,9.16,10.57,12.41,15.06,24.04,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1905.6,1632.6,US$2011PPP,Year,0.087675,1906,1633,7598,9933609,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
716,Belarus,BLR,BY,2000,24.7,10.38,14.71,18.03,22.18,34.7,4.36,6.02,6.96,7.75,8.58,9.45,10.46,11.72,13.78,20.92,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,470133.6,,Belarusian ruble (BYB1000),Month,0.087675,,,7598,9933609,,Average,13,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
721,Belarus,BLR,BY,2001,30.58,8.16,13.05,17.23,22.66,38.9,3.26,4.9,6.03,7.02,8.07,9.16,10.46,12.2,14.91,23.99,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2365.56,2032.92,US$2011PPP,Year,0.139,2366,2033,8006,9872961,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
719,Belarus,BLR,BY,2001,24.5,10.3,14.76,17.89,22.12,34.94,4.31,5.99,7.01,7.75,8.52,9.37,10.37,11.75,13.92,21.02,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,970372.8,,Belarusian ruble (BYB1000),Month,0.139,,,8006,9872961,,Average,13,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
724,Belarus,BLR,BY,2002,30.34,8.28,13.11,17.25,22.57,38.79,3.35,4.93,6.04,7.07,8.06,9.19,10.45,12.12,14.77,24.02,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2598.6,2238.36,US$2011PPP,Year,0.179091667,2599,2238,8466,9807132,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
722,Belarus,BLR,BY,2002,24.6,10.26,14.69,17.74,22.16,35.14,4.3,5.97,6.96,7.73,8.45,9.3,10.4,11.76,13.89,21.25,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1468879.2,,Belarusian ruble (BYB1000),Month,0.179091667,,,8466,9807132,,Average,13,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
727,Belarus,BLR,BY,2003,28.82,8.56,13.51,17.51,22.84,37.57,3.45,5.11,6.28,7.23,8.2,9.31,10.55,12.29,14.94,22.63,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2681.16,2351.16,US$2011PPP,Year,0.205127083,2681,2351,9125,9740054,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
725,Belarus,BLR,BY,2003,24.9,10.42,14.81,18.05,22.26,34.47,4.4,6.02,6.99,7.82,8.61,9.44,10.45,11.81,14.02,20.45,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,1890885.6,,Belarusian ruble (BYB1000),Month,0.205127083,,,9125,9740054,New 2007,Average,13,United Nations,UNICEF 2005,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
730,Belarus,BLR,BY,2004,26.48,9.36,13.98,17.87,22.86,35.92,3.84,5.52,6.53,7.45,8.43,9.44,10.68,12.18,14.57,21.35,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,3011.04,2691.36,US$2011PPP,Year,0.21602575,3011,2691,10236,9676902,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
728,Belarus,BLR,BY,2004,24.8,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,0.21602575,,,10236,9676902,New 2008,Average,11,United Nations,UNICEF 2007,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
733,Belarus,BLR,BY,2005,27.55,8.87,13.81,17.84,23.03,36.46,3.63,5.24,6.36,7.45,8.41,9.43,10.68,12.35,14.66,21.8,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,3702.24,3293.16,US$2011PPP,Year,0.215382,3702,3293,11263,9621543,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
731,Belarus,BLR,BY,2005,23.8,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,0.215382,,,11263,9621543,New 2008,Average,11,United Nations,UNICEF 2007,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
736,Belarus,BLR,BY,2006,28.28,8.76,13.55,17.69,22.89,37.11,3.61,5.15,6.26,7.29,8.28,9.41,10.68,12.21,14.71,22.4,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,4279.2,3774.12,US$2011PPP,Year,0.214456417,4279,3774,12449,9575043,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
734,Belarus,BLR,BY,2006,27.9,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,,,,,0.214456417,,,12449,9575043,New 2008,Average,11,United Nations,UNICEF 2008,Transformative Monitoring for Enhanced Equity (TransMonEE),,3
